,cusip,date,bond_ret_truncated,bond_ret_ice,bond_ret_trace,true_bond_ret
72,939322AY9,2008-10-31,1.0,0.40909,3.1431956314209493,0.40909
73,552845AG4,2008-11-30,1.0,,1.8675782614926033,1.8675782614926033
74,34539CJW3,2008-12-31,1.0,,1.0580792605241545,1.0580792605241545
75,34539CMJ8,2008-12-31,1.0,,2.069829077388305,2.069829077388305
76,34539CSA1,2008-12-31,1.0,,1.1064035857821866,1.1064035857821866
77,34539CUN0,2008-12-31,1.0,,1.255705367974182,1.255705367974182
78,34539CUV2,2008-12-31,1.0,,1.0438303312998534,1.0438303312998534
79,34539CVW9,2008-12-31,1.0,,1.1848310171937195,1.1848310171937195
80,34539CXM9,2008-12-31,1.0,,1.3254938432386367,1.3254938432386367
81,34539CZG0,2008-12-31,1.0,,1.8931994365637708,1.8931994365637708
82,345402L41,2008-12-31,1.0,,1.5342528756076086,1.5342528756076086
83,345402T35,2008-12-31,1.0,,1.986226113757509,1.986226113757509
84,345402U33,2008-12-31,1.0,,1.1018878731860133,1.1018878731860133
85,345402Z87,2008-12-31,1.0,,1.1998674715656146,1.1998674715656146
86,36186CAC7,2008-12-31,1.0,1.18001,1.7208667107614544,1.18001
87,36186CAF0,2008-12-31,1.0,1.15089,1.134728360944551,1.15089
88,36186CAH6,2008-12-31,1.0,1.20387,1.1839307631533733,1.20387
89,370425RX0,2008-12-31,1.0,1.08114,1.2387490241253865,1.08114
90,370425RZ5,2008-12-31,1.0,1.2192,1.2118675014880964,1.2192
91,370425SC5,2008-12-31,1.0,1.16876,1.155519286004905,1.16876
92,370425SE1,2008-12-31,1.0,1.12538,1.0533348525898385,1.12538
93,370425SL5,2008-12-31,1.0,1.12134,1.0735513367786156,1.12134
94,37042F3N6,2008-12-31,1.0,,2.512995116137623,2.512995116137623
95,37042F3P1,2008-12-31,1.0,,1.8209485232426117,1.8209485232426117
96,37042F5B0,2008-12-31,1.0,,1.4460397467331092,1.4460397467331092
97,37042FB80,2008-12-31,1.0,,1.4198496194098016,1.4198496194098016
98,37042FE79,2008-12-31,1.0,,1.3362008583844562,1.3362008583844562
99,37042FJ74,2008-12-31,1.0,,1.043002326027883,1.043002326027883
100,37042FL30,2008-12-31,1.0,,1.0919500100416768,1.0919500100416768
101,37042FN38,2008-12-31,1.0,,1.9742844308885903,1.9742844308885903
102,37042FR34,2008-12-31,1.0,,1.6322542993351588,1.6322542993351588
103,37042FZY7,2008-12-31,1.0,,1.6051070487554606,1.6051070487554606
104,37042G2E5,2008-12-31,1.0,,2.11636237334454,2.11636237334454
105,37042G2F2,2008-12-31,1.0,,1.963351202950872,1.963351202950872
106,37042G2M7,2008-12-31,1.0,,1.7737880631323157,1.7737880631323157
107,37042G2T2,2008-12-31,1.0,,1.1102826134305144,1.1102826134305144
108,37042G2Z8,2008-12-31,1.0,,2.1051288097503034,2.1051288097503034
109,37042G3F1,2008-12-31,1.0,,1.443756707835632,1.443756707835632
110,37042G3L8,2008-12-31,1.0,,1.7045291557673605,1.7045291557673605
111,37042G3T1,2008-12-31,1.0,,1.973088695977025,1.973088695977025
112,37042G4E3,2008-12-31,1.0,,1.5647636779665415,1.5647636779665415
113,37042G4S2,2008-12-31,1.0,,2.2072280853360366,2.2072280853360366
114,37042G4T0,2008-12-31,1.0,,1.3752113725725652,1.3752113725725652
115,37042G4Z6,2008-12-31,1.0,,2.14142026004196,2.14142026004196
116,37042G5F9,2008-12-31,1.0,,2.443492260287971,2.443492260287971
117,37042G5R3,2008-12-31,1.0,,1.3689215169363176,1.3689215169363176
118,37042G6C5,2008-12-31,1.0,,2.09216150211424,2.09216150211424
119,37042G6J0,2008-12-31,1.0,,1.2000879029986085,1.2000879029986085
120,37042G6Q4,2008-12-31,1.0,,1.9960569041270524,1.9960569041270524
121,37042G7C4,2008-12-31,1.0,,2.9023975452486437,2.9023975452486437
122,37042G7J9,2008-12-31,1.0,,1.6283798899583353,1.6283798899583353
123,37042GC38,2008-12-31,1.0,,2.037397885106623,2.037397885106623
124,37042GC79,2008-12-31,1.0,,1.9781218099170932,1.9781218099170932
125,37042GC87,2008-12-31,1.0,,1.6294907688710913,1.6294907688710913
126,37042GD45,2008-12-31,1.0,,2.2816347315038454,2.2816347315038454
127,37042GD52,2008-12-31,1.0,,2.7080061439667946,2.7080061439667946
128,37042GE28,2008-12-31,1.0,,1.8653290887358849,1.8653290887358849
129,37042GE85,2008-12-31,1.0,,2.397890671947126,2.397890671947126
130,37042GE93,2008-12-31,1.0,,1.586399274353145,1.586399274353145
131,37042GF68,2008-12-31,1.0,,2.3652315790032277,2.3652315790032277
132,37042GF76,2008-12-31,1.0,,1.3281383890347191,1.3281383890347191
133,37042GG59,2008-12-31,1.0,,1.9570386592330686,1.9570386592330686
134,37042GH25,2008-12-31,1.0,,1.9528258436172448,1.9528258436172448
135,37042GH33,2008-12-31,1.0,,1.9636076162101184,1.9636076162101184
136,37042GH90,2008-12-31,1.0,,2.7502237134969647,2.7502237134969647
137,37042GJ64,2008-12-31,1.0,,1.8642706818513122,1.8642706818513122
138,37042GJ72,2008-12-31,1.0,,1.4192182093115602,1.4192182093115602
139,37042GJW7,2008-12-31,1.0,,1.13053650989046,1.13053650989046
140,37042GK54,2008-12-31,1.0,,1.419398423616594,1.419398423616594
141,37042GL38,2008-12-31,1.0,,2.9585040315324127,2.9585040315324127
142,37042GL87,2008-12-31,1.0,,1.9825953226808217,1.9825953226808217
143,37042GM78,2008-12-31,1.0,,1.1330058352389833,1.1330058352389833
144,37042GN51,2008-12-31,1.0,,1.8178525156296443,1.8178525156296443
145,37042GP83,2008-12-31,1.0,,1.8221680670039013,1.8221680670039013
146,37042GP91,2008-12-31,1.0,,1.8938433385605924,1.8938433385605924
147,37042GPR1,2008-12-31,1.0,,2.053728549255225,2.053728549255225
148,37042GPX8,2008-12-31,1.0,,2.327344668479075,2.327344668479075
149,37042GQ74,2008-12-31,1.0,,1.8547721099850094,1.8547721099850094
150,37042GQD1,2008-12-31,1.0,,2.186413000430207,2.186413000430207
151,37042GQR0,2008-12-31,1.0,,2.9325941497851877,2.9325941497851877
152,37042GR40,2008-12-31,1.0,,2.0113584183604725,2.0113584183604725
153,37042GR57,2008-12-31,1.0,,2.0706393606133022,2.0706393606133022
154,37042GRQ1,2008-12-31,1.0,,2.045724566504341,2.045724566504341
155,37042GRV0,2008-12-31,1.0,,1.482372928608443,1.482372928608443
156,37042GS56,2008-12-31,1.0,,2.293003181035466,2.293003181035466
157,37042GS64,2008-12-31,1.0,,1.9205700578267217,1.9205700578267217
158,37042GSA5,2008-12-31,1.0,,1.880968515051706,1.880968515051706
